match	key	sent	heard	stress
1.00	orbrun	Сфера, тікай	сфера тікай	сф+ера тік+ай
1.00	orbsincoming	Скоро сфери	скоро сфери	ск+оро сф+ери
1.00	otherin	Гравець зайшов	гравець зайшов	грав+иць зайш+ов
1.00	otherout	Гравець вийшов	кравець вийшов	гр+авець в+ийшов
1.00	pfive	П'ята фаза	п'ята фаза	п’+ята ф+аза
1.00	pfour	Четверта фаза	четверта фаза	четв+ерта ф+аза
1.00	phasechange	Зміна фази	зміна фази	зм+іна ф+ази
1.00	poisonyou	Отрута на тобі	отрута на тобі	отр+ута н+а тоб+і
1.00	polarityshift	Зміна полярності	зміна полярності	зм+іна пол+ярності
1.00	pone	Перша фаза	перша фаза	п+ерша ф+аза
1.00	poolyou	Калюжа на тобі	калюжана тобі	калюж+а н+а тоб+і
1.00	positive	Плюс	плюс	пл+юс
1.00	pthree	Третя фаза	третя фаза	тр+етя ф+аза
1.00	ptran	Перехідна фаза	перехідна фаза	перех+ідна ф+аза
1.00	ptwo	Друга фаза	друга фаза	др+уга ф+аза
1.00	pullin	Притягування	притягування	прит+ягування
1.00	pulverize	Подрібнення	подрібнення	подрібн+ення
1.00	purpleyou	Фіолетовий на тобі	фіолетовий на тобі	фіол+етови н+а тоб+і
1.00	pushbackincoming	Скоро відштовхування	скоро відштовхування	ск+оро відшт+ов хов+ання
1.00	quake	Землетрус	землетрус	земле тр+ус
1.00	rageyou	Лють на тобі	людь на тобі	л+ють н+а тоб+і
1.00	raidsplit	Поділ рейду	поділ рейду	под+іл р+ийду
1.00	range5	Дистанція п'ять	дистанція п'ять	дист+анція п’+ять
1.00	readyrescue	Готуйся рятувати	готуйся рятувати	гот+уйся рятув+ати
1.00	redyou	Червоний на тобі	червоний на тобі	черв+оний н+а тоб+і
1.00	riftyou	Розлом на тобі	розлом на тобі	р+озлом н+а тоб+і
1.00	right	Праворуч	праворуч	прав+оруч
1.00	rollincoming	Скоро коток	скоро коток	ск+оро к+от+ок
1.00	runaway	Тікай	цікай	тік+ай
1.00	runesincoming	Скоро руни	скоро руни	ск+оро р+уни
1.00	runeyou	Руна на тобі	руна на тобі	р+уна н+а тоб+і
1.00	runin	Забігай	забігай	забіг+ай
1.00	runout	Вибігай	вибігай	в+ибігай
1.00	runoverflowers	Пробіжи по квітах	пробіжи по квітах	пробіж+и п+о кв+ітах
1.00	runovermobs	Пробіжи по ворогах	пробіжи по ворогах	пробіж+и п+о в+орогах
1.00	runtoedge	Біжи до краю	біжи до краю	біж+и д+о кра+ю
1.00	runtotrap	Іди до пастки	іди до пастки	ід+и д+о пастк+и
1.00	safenow	Тепер безпечно	тепер безпечно	теп+ер безп+ечно
1.00	scatter	Розійдіться	розійдіться	розі йд+іться
1.00	scattersoon	Скоро розходитись	скоро розходитись	ск+оро розход+итись
1.00	seedyou	Насіння на тобі	насіння на тобі	нас+іння н+а тоб+і
1.00	server	Офіціант	офіціант	офіці+ант
1.00	shadowrun	Тінь на тобі, тікай	цінь на тобі цікай	т+інь н+а тоб+і тік+ай
1.00	shadowyou	Тінь на тобі	цінь на тобі	т+інь н+а тоб+і
1.00	shieldcharge	Ривок зі щитом	ривок зі щитом	рив+ок з+іш+ито
1.00	shockwave	Ударна хвиля	ударна хвиля	уд+ар н+а хв+иля
1.00	shockyou	Шок на тобі	шок на тобі	ш+ок н+а тоб+і
1.00	silencesoon	Скоро німота	скоро німота	ск+оро н+ім от+а
1.00	slagelementalcoming	Іде шлаковий елементаль	іде шлаковий елементаль	+і д+е шл+аковий елем+ентай
1.00	slowyou	Сповільнення на тобі	з повільнення на тобі	спов+ільнення н+а тоб+і
1.00	soakbeam	Поглинь промінь	поглинь промінь	поглин пр+омін
1.00	soakincoming	Скоро поглинання	скоро поглинання	ск+оро поглин+ання
1.00	soulcleave	Розсічення душі	розсічення душі	розс+ічення душ+і
1.00	south	Південь	південь	півд+ень
1.00	southeast	Південний схід	південний схід	півд+енний сх+ід
1.00	southwest	Південний захід	південний захід	півд+енний зах+ід
1.00	spear	Спис	спис	сп+ис
1.00	speedup	Прискорся	прискорця	приск+орся
1.00	speedyou	Прискорення на тобі	при скорення на тобі	приск+орення н+а тоб+і
1.00	stackhigh	Багато стаків	багато стаків	баг+ато стак+ів
1.00	stepring	Стань у кільця	станьоо кільця	ст+ань +у кільц+я
1.00	stilldanger	Небезпека, небезпека	небезпека небезпека	небезп+ека небезп+ека
1.00	stompsoon	Скоро струс	скорострус	ск+оро стр+ус
1.00	stompstart	Струс почався	струс почався	стр+ус поч+ався
1.00	stopatk	Припини атакувати	припини атакувати	прип+ини атакув+ати
1.00	stopattack	Припини атаку	припини атаку	припин+и ат+аку
1.00	stopcast	Зупини закляття	зупини закляття	зуп+и н+и закл+яття
1.00	stopmove	Зупинись	зупинись	зупин+есь
1.00	stunsoon	Скоро оглушення	скоро оголошання	ск+оро оглушення
1.00	stunyou	Оглушення на тобі	оголошення на тобі	огл+ушення н+а тоб+і
1.00	sunderhigh	Багато розколів	багато розколів	баг+ато р+озколів
1.00	swapsoon	Скоро зміна	скоро зміни	ск+оро зм+іна
1.00	takedamage	Прийми шкоду	прийми шкоду	прийм+е шк+оду
1.00	tankcombo	Танкове комбо	танкове комбо	т+анкове к+ом б+о
1.00	targetchange	Зміна цілі	зміна цілі	зм+іна ц+ілі
1.00	targetyou	Ціль на тобі	ціль на тобі	ц+іль н+а тоб+і
1.00	tauntboss	Забери боса	забери боси	забер+и б+оса
1.00	telesoon	Скоро телепорт	скоро телепорт	ск+оро телеп+орт
1.00	teleyou	Телепорт на тобі	телепорт на тобі	тел+е п+орти н+а тоб+і
1.00	thanks	Дякую	дякую	дяк+ую
1.00	tosscoming	Скоро кидок	скоро кидок	ск+оро кид+ок
1.00	tossonyou	Кидок на тобі	кий док на тобі	кид+ок н+а тоб+і
1.00	toxic	Токсичний	токсичний	токс+ичний
1.00	trannow	Транквілізатор зараз	транквілізатор зараз	тр+анк віліз+атор з+араз
1.00	transplague	Перенеси душу	перенеси душу	перенес+и д+ушу
1.00	trapsincoming	Скоро пастки	скоропастки	ск+оро пастки
1.00	turnaway	Відвернись	відвернись	в+ідверн+ись
1.00	useextraaction	Використай додаткову дію	використай додаткову дію	в+икористей додатк+ову д+ію
1.00	usegate	Використай браму	використай браму	в+икористай бр+аму
1.00	useitem	Використай предмет	використай предмет	в+икористай предм+ет
1.00	uu	Твоє	твоє	тв+оє
1.00	watchfeet	Дивись під ноги	дивись під ноги	дивийсь п+ід ног+и
1.00	watchimpale	Пронизування	пронизування	прон+изування
1.00	watchorb	Стеж за сферою	стеж за сферою	ст+еж з+а сф+ерою
1.00	watchstep	Дивись, куди стаєш	дивись куди стаєш	див+ись куд+и ста+єш
1.00	watchwave	Стеж за хвилею	теж за хвилею	ст+еж з+а хв+илею
1.00	west	Захід	захід	зах+ід
1.00	whirlwind	Вихор	вихор	в+ихор
1.00	wroughtchaosyou	Хаос на тобі, тікай	хаос на тобі тікай	х+аос н+а тоб+і тік+ай
1.00	wwsoon	Скоро буревій	скоро буровій	ск+оро б+уревій
